timestamp,cpu_usage,tcp_connections,udp_connections,packet_rate
2024-06-19 16:51:00,9,1344,91,89
2024-06-19 16:51:30,8,1348,90,239
2024-06-19 16:52:00,9,1389,173,296
2024-06-19 16:52:30,9,1374,175,100
2024-06-19 16:53:00,9,1376,80,271
2024-06-19 16:53:30,9,1381,87,157
2024-06-19 16:54:00,9,1351,112,88
2024-06-19 16:54:30,8,1335,90,77
2024-06-19 16:55:00,8,1315,62,94
2024-06-19 16:55:30,8,1319,110,202
2024-06-19 16:56:00,9,1323,123,271
2024-06-19 16:56:30,9,1325,95,191
2024-06-19 16:57:00,8,1335,82,183
2024-06-19 16:57:30,7,1330,60,344
2024-06-19 16:58:00,8,1333,52,416
2024-06-19 16:58:30,8,1347,60,153
2024-06-19 16:59:00,8,1359,92,219
2024-06-19 16:59:30,9,1385,151,339
2024-06-19 17:00:00,9,686,186,232
2024-06-19 17:00:30,5,423,225,85
2024-06-19 17:01:00,5,708,164,103
2024-06-19 17:01:30,7,1034,213,252
2024-06-19 17:02:00,10,1312,312,153
2024-06-19 17:02:30,10,1364,255,187
2024-06-19 17:03:00,9,1381,228,116
2024-06-19 17:03:30,9,1389,180,125
2024-06-19 17:04:00,9,1344,148,91
2024-06-19 17:04:30,9,1317,121,160
2024-06-19 17:05:00,8,1318,126,132
2024-06-19 17:05:30,8,1335,127,81
2024-06-19 17:06:00,8,1349,88,85
2024-06-19 17:06:30,8,1348,80,85
2024-06-19 17:07:00,9,1342,71,86
2024-06-19 17:07:30,8,1318,68,127
2024-06-19 17:08:00,8,1303,72,77
2024-06-19 17:08:30,8,1308,131,248
2024-06-19 17:09:00,9,1320,234,89
2024-06-19 17:09:30,9,1328,186,121
2024-06-19 17:10:00,9,1328,151,151
2024-06-19 17:10:30,9,1357,240,320
2024-06-19 17:11:00,8,676,225,277
2024-06-19 17:11:30,5,477,242,157
2024-06-19 17:12:00,6,781,193,85
2024-06-19 17:12:30,7,1078,103,102
2024-06-19 17:13:00,8,1333,97,91
2024-06-19 17:13:30,9,1364,108,103
2024-06-19 17:14:00,9,1337,126,106
2024-06-19 17:14:30,9,1368,210,644
2024-06-19 17:15:00,12,1491,476,173
2024-06-19 17:15:30,11,1478,380,105
2024-06-19 17:16:00,9,1463,115,104
2024-06-19 17:16:30,9,1447,125,91
2024-06-19 17:17:00,11,1299,151,208
2024-06-19 17:17:30,5,278,168,368
2024-06-19 17:18:00,8,299,209,157
2024-06-19 17:18:30,5,266,217,300
2024-06-19 17:19:00,7,298,216,145
2024-06-19 17:19:30,5,582,208,119
2024-06-19 17:20:00,8,603,123,113
2024-06-19 17:20:30,4,367,119,96
2024-06-19 17:21:00,5,639,159,101
2024-06-19 17:21:30,6,925,116,154
2024-06-19 17:22:00,8,1205,107,439
2024-06-19 17:22:30,8,1288,106,95
2024-06-19 17:23:00,11,1335,371,270
2024-06-19 17:23:30,11,1407,506,350
2024-06-19 17:24:00,12,1485,447,186
2024-06-19 17:24:30,12,1496,424,231
2024-06-19 17:25:00,10,1478,250,191
2024-06-19 17:25:30,10,1454,141,168
2024-06-19 17:26:00,9,1396,140,232
2024-06-19 17:26:30,9,1366,142,95
2024-06-19 17:27:00,9,1363,120,185
2024-06-19 17:27:30,8,1341,97,82
2024-06-19 17:28:00,9,1338,76,95
2024-06-19 17:28:30,8,1347,87,128
2024-06-19 17:29:00,8,1336,106,176
2024-06-19 17:29:30,9,1351,133,122
2024-06-19 17:30:00,9,1360,186,115
2024-06-19 17:30:30,9,1355,164,106
2024-06-19 17:31:00,9,1343,114,90
2024-06-19 17:31:30,9,1353,112,107
2024-06-19 17:32:00,8,1358,126,97
2024-06-19 17:32:30,8,1354,129,90
2024-06-19 17:33:00,8,1366,117,100
2024-06-19 17:33:30,8,1353,120,91
2024-06-19 17:34:00,8,1347,111,91
2024-06-19 17:34:30,9,1350,90,92
2024-06-19 17:35:00,9,1338,89,92
2024-06-19 17:35:30,8,1341,116,87
2024-06-19 17:36:00,9,1351,111,175
2024-06-19 17:36:30,8,1353,99,131
2024-06-19 17:37:00,9,1348,93,98
2024-06-19 17:37:30,8,1340,80,93
2024-06-19 17:38:00,8,1320,78,88
2024-06-19 17:38:30,9,1365,86,261
2024-06-19 17:39:00,11,1714,115,182
2024-06-19 17:39:30,10,1736,109,110
2024-06-19 17:40:00,13,1728,93,274
2024-06-19 17:40:30,7,602,99,185
2024-06-19 17:41:00,7,970,166,243
2024-06-19 17:41:30,9,1348,146,137
2024-06-19 17:42:00,11,1616,124,86
2024-06-19 17:42:30,10,1612,108,82
2024-06-19 17:43:00,10,1455,148,216
2024-06-19 17:43:30,10,1407,310,441
2024-06-19 17:44:00,11,1356,303,114
2024-06-19 17:44:30,8,1325,135,81
2024-06-19 17:45:00,8,1317,77,90
2024-06-19 17:45:30,7,502,64,81
2024-06-19 17:46:00,7,339,94,86
2024-06-19 17:46:30,4,283,170,86
2024-06-19 17:47:00,5,585,193,91
2024-06-19 17:47:30,5,885,96,85
2024-06-19 17:48:00,8,1177,85,80
2024-06-19 17:48:30,8,1302,82,88
2024-06-19 17:49:00,6,292,79,86
2024-06-19 17:49:30,4,480,98,75
2024-06-19 17:50:00,5,777,74,86
2024-06-19 17:50:30,7,1092,71,85
2024-06-19 17:51:00,8,1306,72,100
2024-06-19 17:51:30,9,1426,72,469
2024-06-19 17:52:00,10,1593,80,169
2024-06-19 17:52:30,9,1598,80,84
2024-06-19 17:53:00,9,1600,77,86
2024-06-19 17:53:30,10,1526,77,87
2024-06-19 17:54:00,8,1391,85,108
2024-06-19 17:54:30,9,1421,92,168
2024-06-19 17:55:00,11,1142,90,230
2024-06-19 17:55:30,4,513,110,103
2024-06-19 17:56:00,11,512,135,314
2024-06-19 17:56:30,6,768,232,153
2024-06-19 17:57:00,7,1020,182,112
2024-06-19 17:57:30,8,1235,88,93
2024-06-19 17:58:00,10,1028,81,91
2024-06-19 17:58:30,3,318,97,115
2024-06-19 17:59:00,5,631,156,137
2024-06-19 17:59:30,6,893,103,85
2024-06-19 18:00:00,7,1207,66,108
2024-06-19 18:00:30,8,1316,78,78
2024-06-19 18:01:00,9,837,84,134
2024-06-19 18:01:30,4,364,155,99
2024-06-19 18:02:00,5,654,142,81
2024-06-19 18:02:30,5,937,63,84
2024-06-19 18:03:00,8,1232,96,158
2024-06-19 18:03:30,8,1290,142,248
2024-06-19 18:04:00,9,1307,152,305
2024-06-19 18:04:30,8,1320,128,161
2024-06-19 18:05:00,8,1311,105,99
2024-06-19 18:05:30,8,1319,88,115
2024-06-19 18:06:00,10,1367,161,1668
2024-06-19 18:06:30,9,1388,196,134
2024-06-19 18:07:00,9,1380,97,104
2024-06-19 18:07:30,8,1373,63,86
2024-06-19 18:08:00,9,893,95,1465
2024-06-19 18:08:30,4,369,251,160
2024-06-19 18:09:00,5,663,237,162
2024-06-19 18:09:30,6,954,91,92
2024-06-19 18:10:00,8,1244,115,93
2024-06-19 18:10:30,9,1317,146,139
2024-06-19 18:11:00,7,550,158,84
2024-06-19 18:11:30,5,449,217,102
2024-06-19 18:12:00,7,780,347,236
2024-06-19 18:12:30,9,1108,449,205
2024-06-19 18:13:00,10,1347,355,97
2024-06-19 18:13:30,10,1363,211,144
2024-06-19 18:14:00,9,859,139,103
2024-06-19 18:14:30,4,345,138,96
2024-06-19 18:15:00,5,682,138,99
2024-06-19 18:15:30,7,1000,90,112
2024-06-19 18:16:00,9,1315,191,234
2024-06-19 18:16:30,10,1377,243,130
2024-06-19 18:17:00,9,1328,142,89
2024-06-19 18:17:30,8,1315,96,90
2024-06-19 18:18:00,9,1313,102,106
2024-06-19 18:18:30,8,1316,138,107
2024-06-19 18:19:00,8,1317,179,111
2024-06-19 18:19:30,9,1308,178,92
2024-06-19 18:20:00,8,1302,146,110
2024-06-19 18:20:30,8,1299,116,87
2024-06-19 18:21:00,8,1300,121,123
2024-06-19 18:21:30,8,1307,130,118
2024-06-19 18:22:00,8,1291,114,81
2024-06-19 18:22:30,9,1295,101,106
2024-06-19 18:23:00,9,1294,136,84
2024-06-19 18:23:30,8,1292,144,106
2024-06-19 18:24:00,8,1317,158,139
2024-06-19 18:24:30,9,1320,145,83
2024-06-19 18:25:00,8,1342,115,118
2024-06-19 18:25:30,9,1355,115,88
2024-06-19 18:26:00,9,1330,105,90
2024-06-19 18:26:30,8,1318,108,83
2024-06-19 18:27:00,8,1309,111,94
2024-06-19 18:27:30,8,1283,88,94
2024-06-19 18:28:00,9,1296,70,104
2024-06-19 18:28:30,8,1307,112,107
2024-06-19 18:29:00,9,1310,161,132
2024-06-19 18:29:30,9,1330,186,108
2024-06-19 18:30:00,9,860,131,98
2024-06-19 18:30:30,4,409,132,88
2024-06-19 18:31:00,6,707,139,114
2024-06-19 18:31:30,7,1011,121,106
2024-06-19 18:32:00,8,1275,125,87
2024-06-19 18:32:30,8,1293,81,86
2024-06-19 18:33:00,8,1328,100,608
2024-06-19 18:33:30,9,1374,178,250
2024-06-19 18:34:00,10,1396,292,287
