2024-08-22 17:12:38, CPU USAGE: 5%, TOTAL MEM: 251776 KB, USED MEM: 35464 KB, FREE MEM: 188872 KB
2024-08-22 17:12:39, CPU USAGE: 29%, TOTAL MEM: 251776 KB, USED MEM: 35548 KB, FREE MEM: 188748 KB
2024-08-22 17:12:40, CPU USAGE: 9%, TOTAL MEM: 251776 KB, USED MEM: 35628 KB, FREE MEM: 188904 KB
2024-08-22 17:12:41, CPU USAGE: 12%, TOTAL MEM: 251776 KB, USED MEM: 36440 KB, FREE MEM: 187384 KB
2024-08-22 17:12:42, CPU USAGE: 15%, TOTAL MEM: 251776 KB, USED MEM: 35600 KB, FREE MEM: 188804 KB
2024-08-22 17:12:44, CPU USAGE: 5%, TOTAL MEM: 251776 KB, USED MEM: 35552 KB, FREE MEM: 188840 KB
2024-08-22 17:12:45, CPU USAGE: 23%, TOTAL MEM: 251776 KB, USED MEM: 35740 KB, FREE MEM: 188656 KB
2024-08-22 17:12:46, CPU USAGE: 3%, TOTAL MEM: 251776 KB, USED MEM: 35620 KB, FREE MEM: 188880 KB
2024-08-22 17:12:47, CPU USAGE: 11%, TOTAL MEM: 251776 KB, USED MEM: 35784 KB, FREE MEM: 188716 KB
2024-08-22 17:12:48, CPU USAGE: 22%, TOTAL MEM: 251776 KB, USED MEM: 35620 KB, FREE MEM: 188704 KB
2024-08-22 17:12:49, CPU USAGE: 3%, TOTAL MEM: 251776 KB, USED MEM: 35612 KB, FREE MEM: 188888 KB
2024-08-22 17:12:50, CPU USAGE: 8%, TOTAL MEM: 251776 KB, USED MEM: 35568 KB, FREE MEM: 188864 KB
2024-08-22 17:12:51, CPU USAGE: 11%, TOTAL MEM: 251776 KB, USED MEM: 35588 KB, FREE MEM: 188760 KB
2024-08-22 17:12:52, CPU USAGE: 11%, TOTAL MEM: 251776 KB, USED MEM: 35884 KB, FREE MEM: 188980 KB
2024-08-22 17:12:53, CPU USAGE: 26%, TOTAL MEM: 251776 KB, USED MEM: 35592 KB, FREE MEM: 188924 KB
2024-08-22 17:12:54, CPU USAGE: 4%, TOTAL MEM: 251776 KB, USED MEM: 35612 KB, FREE MEM: 188948 KB
2024-08-22 17:12:56, CPU USAGE: 10%, TOTAL MEM: 251776 KB, USED MEM: 35632 KB, FREE MEM: 188856 KB
2024-08-22 17:12:57, CPU USAGE: 26%, TOTAL MEM: 251776 KB, USED MEM: 35384 KB, FREE MEM: 188824 KB
2024-08-22 17:12:58, CPU USAGE: 8%, TOTAL MEM: 251776 KB, USED MEM: 35536 KB, FREE MEM: 188840 KB
2024-08-22 17:12:59, CPU USAGE: 21%, TOTAL MEM: 251776 KB, USED MEM: 35536 KB, FREE MEM: 188916 KB
2024-08-22 17:13:00, CPU USAGE: 5%, TOTAL MEM: 251776 KB, USED MEM: 35440 KB, FREE MEM: 188948 KB
2024-08-22 17:13:01, CPU USAGE: 10%, TOTAL MEM: 251776 KB, USED MEM: 35464 KB, FREE MEM: 189028 KB
2024-08-22 17:13:02, CPU USAGE: 11%, TOTAL MEM: 251776 KB, USED MEM: 35332 KB, FREE MEM: 189000 KB
2024-08-22 17:13:03, CPU USAGE: 5%, TOTAL MEM: 251776 KB, USED MEM: 35428 KB, FREE MEM: 189020 KB
2024-08-22 17:13:04, CPU USAGE: 5%, TOTAL MEM: 251776 KB, USED MEM: 35284 KB, FREE MEM: 188992 KB
2024-08-22 17:13:05, CPU USAGE: 8%, TOTAL MEM: 251776 KB, USED MEM: 35968 KB, FREE MEM: 188620 KB
2024-08-22 17:13:06, CPU USAGE: 13%, TOTAL MEM: 251776 KB, USED MEM: 36672 KB, FREE MEM: 188376 KB
2024-08-22 17:13:08, CPU USAGE: 26%, TOTAL MEM: 251776 KB, USED MEM: 35604 KB, FREE MEM: 188764 KB
2024-08-22 17:13:09, CPU USAGE: 27%, TOTAL MEM: 251776 KB, USED MEM: 36368 KB, FREE MEM: 188260 KB
2024-08-22 17:13:10, CPU USAGE: 12%, TOTAL MEM: 251776 KB, USED MEM: 35532 KB, FREE MEM: 188860 KB
2024-08-22 17:13:11, CPU USAGE: 19%, TOTAL MEM: 251776 KB, USED MEM: 35572 KB, FREE MEM: 188728 KB
2024-08-22 17:13:12, CPU USAGE: 24%, TOTAL MEM: 251776 KB, USED MEM: 35556 KB, FREE MEM: 188860 KB
2024-08-22 17:13:13, CPU USAGE: 8%, TOTAL MEM: 251776 KB, USED MEM: 35508 KB, FREE MEM: 188844 KB
2024-08-22 17:13:14, CPU USAGE: 4%, TOTAL MEM: 251776 KB, USED MEM: 35504 KB, FREE MEM: 188960 KB
2024-08-22 17:13:15, CPU USAGE: 44%, TOTAL MEM: 251776 KB, USED MEM: 35596 KB, FREE MEM: 188820 KB
2024-08-22 17:13:16, CPU USAGE: 10%, TOTAL MEM: 251776 KB, USED MEM: 35652 KB, FREE MEM: 188904 KB
2024-08-22 17:13:17, CPU USAGE: 7%, TOTAL MEM: 251776 KB, USED MEM: 35492 KB, FREE MEM: 188864 KB
2024-08-22 17:13:18, CPU USAGE: 6%, TOTAL MEM: 251776 KB, USED MEM: 35732 KB, FREE MEM: 188108 KB
2024-08-22 17:13:20, CPU USAGE: 27%, TOTAL MEM: 251776 KB, USED MEM: 35652 KB, FREE MEM: 188824 KB
2024-08-22 17:13:21, CPU USAGE: 4%, TOTAL MEM: 251776 KB, USED MEM: 35576 KB, FREE MEM: 188848 KB
2024-08-22 17:13:22, CPU USAGE: 21%, TOTAL MEM: 251776 KB, USED MEM: 35536 KB, FREE MEM: 188632 KB
2024-08-22 17:13:23, CPU USAGE: 8%, TOTAL MEM: 251776 KB, USED MEM: 35628 KB, FREE MEM: 188688 KB
2024-08-22 17:13:24, CPU USAGE: 9%, TOTAL MEM: 251776 KB, USED MEM: 35536 KB, FREE MEM: 188796 KB
2024-08-22 17:13:25, CPU USAGE: 13%, TOTAL MEM: 251776 KB, USED MEM: 35560 KB, FREE MEM: 188832 KB
2024-08-22 17:13:26, CPU USAGE: 11%, TOTAL MEM: 251776 KB, USED MEM: 35620 KB, FREE MEM: 188752 KB
2024-08-22 17:13:27, CPU USAGE: 11%, TOTAL MEM: 251776 KB, USED MEM: 35592 KB, FREE MEM: 188796 KB
2024-08-22 17:13:28, CPU USAGE: 9%, TOTAL MEM: 251776 KB, USED MEM: 35524 KB, FREE MEM: 188780 KB
